国际比赛	周二016	18/10/17 09:45	2 墨西哥	0 : 1	智利 2	0 : 0	-0.25 / 2.5 / 9.5	hgc角球角球角球角球角球角球角球角球角球角球角球角球角球hgc角球角球角球hgc角球ggc进球  	8 : 4	10 : 7	析
国际比赛	周二014	18/10/17 08:06	1 美国	1 : 1	秘鲁 1	0 : 0	+0.25 / 2.25 / 8.5	角球角球进球角球角球角球角球进球角球角球  	0 : 2	2 : 6	析
国际比赛	周二015	18/10/17 08:05	2 哥伦比亚	3 : 1	哥斯达黎加 2	1 : 1	-1.25 / 2.5 / 8	角球角球角球角球角球角球进球进球角球角球进球进球  	4 : 2	6 : 2	析
国际比赛	3	18/10/17 02:46	1 瑞典	1 : 1	斯洛伐克 1	0 : 0	-0.5 / 2.25 / 9.5	角球角球角球角球角球进球角球角球角球角球进球角球角球角球  	2 : 2	9 : 3	析
国际比赛	34	18/10/17 02:45	丹麦	2 : 0	奥地利 2	1 : 0	-0.5 / 2.0 / 9	角球进球角球角球角球角球角球进球角球  	1 : 0	1 : 6	析
国际比赛	周二008	18/10/17 02:45	1 比利时	1 : 1	荷兰 2	1 : 1	-0.5 / 3.0 / 10	角球进球角球角球角球进球角球角球角球角球角球角球角球角球角球  	3 : 2	7 : 6	析
国际比赛	周二007	18/10/17 02:06	2 巴西	1 : 0	阿根廷 5	0 : 0	-1.0 / 2.5 / 9	角球角球角球角球角球角球进球  	1 : 0	4 : 2	析
国际比赛		18/10/17 00:18	巴林	4 : 1	缅甸	1 : 0	-1.75 / 3.0 / -	角球角球角球角球角球角球点球角球进球进球角球角球角球角球进球进球角球角球  	4 : 3	4 : 9	析
国际比赛		18/10/17 00:03	1 伊朗	2 : 1	玻利维亚	1 : 0	-1.25 / 2.25 / 8.5	进球角球角球角球进球角球进球角球角球  	3 : 0	4 : 2	析
国际比赛		18/10/16 23:30	1 阿曼	0 : 0	厄瓜多尔 1	0 : 0	+1.0 / 2.25 / 10.5	角球角球角球角球角球角球  	1 : 1	3 : 3	析
国际比赛		18/10/16 23:05	1 阿联酋	0 : 2	委内瑞拉 2	0 : 1	+0.5 / 2.25 / 8.5	角球进球角球角球点球射失进球角球角球角球角球角球  	1 : 2	5 : 3	析
国际比赛	周二017	18/10/16 22:00	1 乌兹别克斯坦	2 : 0	卡塔尔 2	0 : 0	-0.5 / 2.0 / 8.5	角球角球角球角球角球角球角球进球角球角球进球角球角球  	2 : 1	6 : 5	析
国际比赛		18/10/16 20:50	1 马来西亚	0 : 1	吉尔吉斯斯坦 11	0 : 0	+0.25 / 2.75 / -	角球角球角球角球角球角球角球角球角球角球角球角球进球角球角球红牌  	2 : 5	6 : 8	析
国际比赛	周二004	18/10/16 20:01	2 中国	2 : 0	叙利亚 4	1 : 0	-0.5 / 2.0 / -	角球角球进球角球角球角球角球角球角球角球点球射失角球点球  	2 : 2	5 : 5	析
国际比赛		18/10/16 19:33	1 柬埔寨	1 : 2	新加坡 1	1 : 0	+0.75 / 2.75 / -	角球角球角球进球角球角球角球角球角球进球角球角球进球角球角球角球角球  	2 : 3	8 : 6	析
国际比赛		18/10/16 19:30	1 印度尼西亚	1 : 1	香港	1 : 0	-0.75 / 2.25 / 8.5	角球角球角球进球角球角球角球角球角球角球角球进球角球角球角球角球  	2 : 3	4 : 10	析
国际比赛	周二003	18/10/16 19:01	2 韩国	2 : 2	巴拿马	2 : 1	-1.25 / 2.5 / -	进球角球角球角球进球角球进球进球角球角球角球角球  	2 : 2	4 : 4	析
国际比赛	周二002	18/10/16 18:38	日本	4 : 3	乌拉圭 2	2 : 1	0.0 / 2.25 / 8.5	角球进球角球角球角球进球角球进球角球角球进球角球进球进球进球角球角球  	3 : 3	6 : 4	析
国际比赛	194	18/10/16 02:45	3 克罗地亚	2 : 1	约旦 2	1 : 0	-2 / 2.5 / 9	角球角球角球角球进球角球角球角球角球进球角球进球角球角球  	3 : 2	7 : 4	析
国际比赛		18/10/16 02:03	沙特阿拉伯	1 : 1	伊拉克 1	0 : 0	-0.5 / 2.25 / -	角球角球角球角球角球进球角球角球进球  	1 : 1	4 : 3	析
国际比赛	周一007	18/10/16 00:29	科威特	0 : 4	澳大利亚 1	0 : 2	+1.0 / 2.5 / 7.5	进球角球角球角球角球进球角球角球角球角球角球角球进球进球  	1 : 5	2 : 8	析
国际比赛	周日013	18/10/15 00:00	苏格兰	1 : 3	葡萄牙 1	0 : 1	+0.75 / 2.25 / 9	角球角球角球角球角球进球角球角球角球进球进球进球  	3 : 2	5 : 3	析
国际比赛	    18/10/14 19:07	2 泰国	1 : 0	特立尼达和多巴哥 3	0 : 0	-0.25 / 2.25 / 9	角球角球角球进球角球角球角球角球角球角球角球  	1 : 1	7 : 3	析
国际比赛		18/10/13 23:34	阿曼	1 : 1	菲律宾 2	1 : 1	-0.75 / 2.0 / -	角球角球进球角球角球角球进球角球角球角球角球角球  	5 : 1	9 : 1	析
国际比赛		18/10/13 22:03	乌兹别克斯坦	2 : 0	北朝鲜
国际比赛	102	18/10/13 19:36	中国	0 : 0	印度	0 : 0	-2.25 / 3.0 / 9.5	  	0 : 0	0 : 0	析
国际比赛		18/10/13 19:33	缅甸	0 : 3	玻利维亚 1	0 : 2	+2 / 3.5 / -	进球角球进球角球角球进球角球角球角球角球角球角球角球  	1 : 0	5 : 5	析
国际比赛	周五017	18/10/13 08:33	秘鲁	3 : 0	智利	0 : 0	+0.25 / 2.25 / 9	角球角球角球角球角球角球角球角球角球角球进球角球进球进球角球  	7 : 1	9 : 3	析
国际比赛		18/10/13 02:46	1 Basque Country	4 : 2	委内瑞拉 1	1 : 1	-0.75 / 2.75 / -	角球进球角球进球角球角球进球角球进球角球角球进球进球  	2 : 2	4 : 3	析
国际比赛	周五005	18/10/13 02:02	1 沙特阿拉伯	0 : 2	巴西	0 : 1	+2.5 / 3.25 / 9	角球角球角球进球角球红牌角球角球进球  	0 : 3	1 : 5	析
国际比赛		18/10/12 23:31	1 卡塔尔	4 : 3	厄瓜多尔 32	2 : 0	+0.5 / 2.5 / 9.5	角球角球进球进球角球角球角球角球角球点球进球进球进球红牌角球角球进球红牌  	2 : 4	2 : 7	析
国际比赛		18/10/12 21:24	2 斯里兰卡	1 : 4	马来西亚 1	1 : 0	+1.75 / 3.0 / -	角球角球角球进球角球角球角球角球角球角球角球进球角球角球角球进球角球进球进球角球  	2 : 5	6 : 9	析
国际比赛		18/10/12 20:02	2 新加坡	2 : 0	蒙古 1	0 : 0	-1.5 / 2.75 / -	角球角球角球角球角球进球角球进球  	5 : 0	6 : 0	析
国际比赛		18/10/12 19:33	1 塔吉克斯坦	0 : 0	巴勒斯坦 1	0 : 0	0.0 / 2.25 / -	角球角球角球角球角球角球角球红牌角球角球角球角球  	3 : 5	3 : 8	析
国际比赛		18/10/12 19:32	3 柬埔寨	2 : 2	东帝汶 1	1 : 2	-1.0 / 3.25 / -	角球角球角球角球角球角球角球进球角球进球进球角球角球角球角球角球角球角球进球  	6 : 3	11 : 4	析
国际比赛	周五002	18/10/12 19:01	韩国	2 : 1	乌拉圭 3	0 : 0	+0.25 / 2.0 / 8.5	角球角球角球角球角球点球射失进球进球角球角球进球  	1 : 1	4 : 3	析
